Date,NOAA_id,Latitude,Longitude,Area,Class,Time
19960101,07935,-232,234,0010,N,99:99
19960101,07937,-298,-105,0000,N,99:99
19960102,07935,0,238,0010,N,99:99
19960102,07937,-67,-101,0000,N,99:99
19960103,07938,-419,251,0190,N,99:99
19960103,07939,-473,115,0030,N,99:99
19960104,07938,-199,257,0190,N,99:99
19960104,07939,-236,122,0030,N,99:99
19960105,07938,33,260,0190,N,99:99
19960105,07939,0,126,0030,N,99:99
19960106,07938,66,262,0270,N,99:99
19960106,07939,0,111,0140,N,99:99
19960107,07938,-326,276,0080,N,99:99
19960107,07939,-413,107,0090,N,99:99
19960107,07940,-439,207,0010,N,99:99
19960108,07938,-99,282,0080,N,99:99
19960108,07939,-169,114,0090,N,99:99
19960108,07940,-201,214,0010,N,99:99
19960109,07938,132,283,0080,N,99:99
19960109,07939,68,116,0090,N,99:99
19960109,07940,33,218,0010,N,99:99
19960110,07939,102,118,0050,N,99:99
19960110,07940,50,236,0000,N,99:99
19960118,07941,-179,-37,0000,N,99:99
19960119,07941,32,-35,0,N,99:99
19960120,07941,243,-36,0,N,99:99
19960121,07941,441,-41,0,N,99:99
19960122,07942,400,77,0010,N,99:99
19960123,07942,583,68,0000,N,99:99
19960124,07942,736,55,0,N,99:99
19960125,07943,-824,235,0000,N,99:99
19960125,07942,850,39,0,N,99:99
19960126,07943,-719,252,0000,N,99:99
19960126,07942,921,20,0,N,99:99
19960127,07943,-559,252,0000,N,99:99
19960127,07942,944,0,0,N,99:99
19960128,07943,-363,264,0000,N,99:99
19960129,07943,-161,272,0000,N,99:99
19960130,07943,64,274,0000,N,99:99
19960131,07943,273,255,0000,N,99:99
19960131,07944,627,203,0010,N,99:99
19960201,07944,795,182,0030,N,99:99
19960201,07943,466,248,0,N,99:99
19960202,07944,880,164,0080,N,99:99
19960202,07943,636,235,0,N,99:99
19960203,07944,929,155,0030,N,99:99
19960203,07943,766,204,0,N,99:99
19960204,07943,872,183,0,N,99:99
19960205,07943,924,161,0,N,99:99
19960216,07945,82,210,0000,N,99:99
19960217,07945,291,206,0,N,99:99
19960218,07945,485,195,0,N,99:99
19960219,07945,654,180,0,N,99:99
19960220,07946,-883,183,0000,N,99:99
19960220,07945,789,160,0,N,99:99
19960221,07946,-784,209,0020,N,99:99
19960221,07945,884,137,0,N,99:99
19960222,07946,-651,213,0020,N,99:99
19960222,07947,603,-142,0000,N,99:99
19960222,07945,932,112,0,N,99:99
19960223,07946,-469,231,0010,N,99:99
19960223,07947,765,-147,0010,N,99:99
19960224,07946,-288,273,0010,N,99:99
19960224,07947,860,-170,0,N,99:99
19960225,07946,0,311,0000,N,99:99
19960225,07948,425,250,0040,N,99:99
19960226,07946,240,307,0000,N,99:99
19960226,07948,601,236,0060,N,99:99
