Date,NOAA_id,Latitude,Longitude,Area,Class,Time
19961128,07999,229,-17,0,N,99:99
19961128,08000,229,-17,0,N,99:99
19961129,07999,229,-15,0,C,12:31
19961130,07999,833,-72,0580,C,20:32
19961130,07999,833,-72,0580,C,17:09
19961130,07999,833,-72,0580,M,20:16
19961201,07999,911,-68,0570,C,20:47
19961201,07999,911,-68,0570,C,20:17
19961201,07999,911,-68,0570,C,20:32
19961201,07999,911,-68,0570,C,17:09
19961202,07999,943,-49,0450,C,23:43
19961202,07999,943,-49,0450,C,17:32
19961202,07999,943,-49,0450,C,14:21
19961202,07999,943,-49,0450,C,20:47
19961202,07999,943,-49,0450,C,20:17
19961202,08001,882,-309,0000,N,99:99
19961202,08002,446,-393,0000,N,99:99
19961203,07999,940,-82,0100,N,99:99
19961203,07999,940,-82,0100,C,23:43
19961203,07999,940,-82,0100,C,17:32
19961203,07999,940,-82,0100,C,14:21
19961208,08003,-155,-485,0010,N,99:99
19961209,08003,42,-469,0010,N,99:99
19961211,08003,426,-452,0040,N,99:99
19961213,08003,708,-438,0100,N,99:99
19961213,08004,-676,124,0070,N,99:99
19961216,08003,825,-458,0180,N,99:99
19961216,08004,-98,118,0080,N,99:99
